age,applying position,experience,leadership experience,english proficiency,salary expectation,gender,category
21,Trainee,Below 1 year,no experience,Beginner,40000,Male,low level
22,Junior Developer,1-2 years,2-5 years experience,Beginner,80000,Female,low-mid level
32,Senior Engineer,5-10 years,5 years+ experience,Fluent,410000,Male,mid-high level
31,Associate Engineer,1-2 years,1-2 years experience,Fluent,130000,Female,mid level
50,Senior Engineer,5-10 years,5 years+ experience,Fluent,600000,Male,high level
20,Intern,Below 1 year,no experience,Intermediate,50000,Male,low level
26,Junior Engineer,1-2 years,2-5 years experience,Beginner,50000,Female,low-mid level
45,Software Engineer,5-10 years,5 years+ experience,Fluent,410000,Female,mid-high level
28,Associate Engineer,1-2 years,2-5 years experience,Fluent,170000,Female,mid level
51,Principal Engineer,5-10 years,5 years+ experience,Fluent,820000,Male,high level
20,Intern,Below 1 year,no experience,Beginner,30000,Male,low level
20,Associate Engineer,1-2 years,1-2 years experience,Beginner,50000,Male,low-mid level
34,Tech Lead,5-10 years,5 years+ experience,Fluent,320000,Male,mid-high level
31,Software Engineer,2-5 years,2-5 years experience,Fluent,180000,Female,mid level
53,Tech Lead,5-10 years,5 years+ experience,Fluent,680000,Male,high level
22,Intern,No experience,no experience,Beginner,40000,Male,low level
20,Junior Developer,1-2 years,1-2 years experience,Beginner,80000,Male,low-mid level
45,Senior Engineer,5-10 years,5 years+ experience,Fluent,490000,Male,mid-high level
29,Software Engineer,2-5 years,1-2 years experience,Fluent,170000,Male,mid level
38,Architect,5-10 years,5 years+ experience,Fluent,650000,Male,high level
18,Intern,Below 1 year,no experience,Intermediate,50000,Male,low level
20,Junior Developer,1-2 years,2-5 years experience,Intermediate,50000,Male,low-mid level
47,Senior Engineer,5-10 years,5 years+ experience,Fluent,450000,Male,mid-high level
32,Software Engineer,1-2 years,1-2 years experience,Fluent,150000,Male,mid level
45,Tech Lead,10+ years,5 years+ experience,Fluent,940000,Male,high level
20,Intern,Below 1 year,no experience,Beginner,50000,Male,low level
26,Junior Engineer,1-2 years,2-5 years experience,Beginner,50000,Male,low-mid level
33,Senior Engineer,5-10 years,5 years+ experience,Fluent,460000,Male,mid-high level
31,Software Engineer,2-5 years,1-2 years experience,Fluent,190000,Male,mid level
30,Tech Lead,5-10 years,5 years+ experience,Fluent,990000,Male,high level
20,Trainee,Below 1 year,no experience,Beginner,40000,Male,low level
21,Junior Developer,1-2 years,1-2 years experience,Beginner,60000,Male,low-mid level
38,Tech Lead,5-10 years,5 years+ experience,Fluent,230000,Male,mid-high level
31,Software Engineer,2-5 years,2-5 years experience,Fluent,150000,Male,mid level
51,Tech Lead,5-10 years,5 years+ experience,Fluent,690000,Male,high level
23,Intern,No experience,no experience,Fluent,50000,Male,low level
25,Junior Engineer,1-2 years,2-5 years experience,Intermediate,60000,Female,low-mid level
39,Senior Engineer,5-10 years,5 years+ experience,Fluent,210000,Male,mid-high level
30,Associate Engineer,1-2 years,2-5 years experience,Fluent,120000,Male,mid level
46,Tech Lead,10+ years,5 years+ experience,Fluent,830000,Male,high level
21,Intern,No experience,no experience,Beginner,30000,Male,low level
21,Associate Engineer,1-2 years,1-2 years experience,Intermediate,60000,Male,low-mid level
41,Tech Lead,5-10 years,5 years+ experience,Fluent,480000,Male,mid-high level
30,Associate Engineer,2-5 years,1-2 years experience,Fluent,150000,Male,mid level
44,Senior Engineer,5-10 years,5 years+ experience,Fluent,960000,Male,high level
22,Intern,No experience,no experience,Fluent,50000,Male,low level
20,Associate Engineer,1-2 years,2-5 years experience,Intermediate,60000,Male,low-mid level
54,Senior Engineer,5-10 years,5 years+ experience,Fluent,480000,Male,mid-high level
31,Associate Engineer,2-5 years,2-5 years experience,Fluent,120000,Male,mid level
50,Tech Lead,5-10 years,5 years+ experience,Fluent,710000,Male,high level
19,Trainee,No experience,no experience,Beginner,50000,Male,low level
25,Associate Engineer,1-2 years,1-2 years experience,Intermediate,70000,Male,low-mid level
43,Senior Engineer,5-10 years,5 years+ experience,Fluent,480000,Male,mid-high level
32,Software Engineer,1-2 years,1-2 years experience,Fluent,170000,Female,mid level
31,Senior Engineer,5-10 years,5 years+ experience,Fluent,790000,Male,high level
23,Intern,Below 1 year,no experience,Fluent,50000,Male,low level
26,Junior Engineer,1-2 years,1-2 years experience,Beginner,70000,Female,low-mid level
35,Senior Engineer,5-10 years,5 years+ experience,Fluent,450000,Male,mid-high level
28,Associate Engineer,1-2 years,1-2 years experience,Fluent,140000,Male,mid level
45,Architect,10+ years,5 years+ experience,Fluent,780000,Male,high level
19,Intern,Below 1 year,no experience,Beginner,40000,Male,low level
24,Junior Developer,1-2 years,2-5 years experience,Beginner,60000,Male,low-mid level
41,Tech Lead,5-10 years,5 years+ experience,Fluent,310000,Male,mid-high level
31,Software Engineer,1-2 years,1-2 years experience,Fluent,190000,Male,mid level
46,Architect,10+ years,5 years+ experience,Fluent,740000,Male,high level
20,Trainee,Below 1 year,no experience,Beginner,30000,Male,low level
24,Associate Engineer,1-2 years,2-5 years experience,Beginner,50000,Male,low-mid level
45,Senior Engineer,5-10 years,5 years+ experience,Fluent,450000,Male,mid-high level
31,Associate Engineer,1-2 years,2-5 years experience,Fluent,130000,Male,mid level
40,Senior Engineer,10+ years,5 years+ experience,Fluent,990000,Male,high level
22,Intern,Below 1 year,no experience,Fluent,30000,Female,low level
25,Junior Engineer,1-2 years,1-2 years experience,Fluent,70000,Male,low-mid level
32,Tech Lead,5-10 years,5 years+ experience,Fluent,230000,Female,mid-high level
32,Associate Engineer,2-5 years,1-2 years experience,Fluent,120000,Male,mid level
54,Tech Lead,5-10 years,5 years+ experience,Fluent,580000,Male,high level
20,Trainee,Below 1 year,no experience,Beginner,30000,Male,low level
21,Junior Engineer,1-2 years,2-5 years experience,Beginner,70000,Male,low-mid level
38,Software Engineer,5-10 years,5 years+ experience,Fluent,370000,Male,mid-high level
29,Software Engineer,1-2 years,2-5 years experience,Fluent,180000,Male,mid level
48,Tech Lead,10+ years,5 years+ experience,Fluent,580000,Male,high level
20,Intern,Below 1 year,no experience,Beginner,40000,Female,low level
22,Junior Engineer,1-2 years,1-2 years experience,Beginner,50000,Female,low-mid level
34,Senior Engineer,5-10 years,5 years+ experience,Fluent,270000,Male,mid-high level
29,Associate Engineer,1-2 years,2-5 years experience,Fluent,170000,Male,mid level
39,Tech Lead,10+ years,5 years+ experience,Fluent,560000,Male,high level
22,Trainee,Below 1 year,no experience,Intermediate,50000,Female,low level
25,Junior Developer,1-2 years,2-5 years experience,Fluent,60000,Male,low-mid level
35,Tech Lead,5-10 years,5 years+ experience,Fluent,360000,Male,mid-high level
